"value","(Intercept)","DBH","I(DBH^2)","I(DBH^0.5)","SummerMeanTemp","I(SummerMeanTemp^2)","I(SummerMeanTemp^0.5)","WDa","SummerMeanTempDifA","SummerMeanTempDifB","SprminTempDifB","species","SprMinTemp","SprminTempDifA","SummerMeanTempDifC","SprminTempDifC"
"Estimate",-318.563875261327,1.53596724897655,-0.00596689414768018,-10.3799872069837,-49.3582606129517,0.601233246751735,243.210679302232,-0.0192927288566029,-0.0454690855935176,0.202692045927974,0.0611549780315413,"abieAmab",NA,NA,NA,NA
"Pr(>|z|)",5.26305922012202e-24,1.56133149612997e-75,4.84560202898352e-98,1.99359513150033e-44,2.27629579699976e-26,6.85970572947644e-26,1.13436745522381e-26,0.00018291433825429,0.00746570343088414,2.04365196048992e-49,5.06429347521006e-22,"abieAmab",NA,NA,NA,NA
"Estimate",-1213.20200802139,0.0196058620295204,NA,NA,-157.918371190372,1.69299331937332,828.636163021849,-0.0179717694715618,-0.152024579021872,NA,NA,"abieGran",0.0799327697947787,NA,NA,NA
"Pr(>|z|)",9.25211407106234e-06,0.00145956318286826,NA,NA,1.46677923186662e-05,2.65594727852244e-05,1.08719285859411e-05,0.0134646199701366,1.41408672254123e-06,NA,NA,"abieGran",0.000690239495579689,NA,NA,NA
"Estimate",-433.963060777483,0.16231037445286,NA,-1.55473797217446,-62.7229170578107,0.733276786938566,314.243853342351,-0.0288781883136966,-0.252653434969207,NA,NA,"abieLasi",-0.230526928913715,0.127790871457148,NA,NA
"Pr(>|z|)",0.0002794647330021,8.12720927104814e-13,NA,3.44939847385429e-08,0.00141462696568625,0.00599781813812787,0.000591459552419026,0.0265219562565926,2.99644096419309e-13,NA,NA,"abieLasi",1.82267924737947e-08,9.93228130555941e-06,NA,NA
"Estimate",-130.554261722521,-0.0311178247024386,0.000134766937683378,NA,-19.7596288897924,0.227727849097519,100.024598975361,-0.0156445571841351,-0.127334944379724,NA,NA,"abieProc",0.143184538510667,-0.0927751620031721,NA,NA
"Pr(>|z|)",0.000852987411881666,0.0241385182323171,0.0247739435577434,NA,0.000716848728336052,0.00156430745308041,0.000455785432281621,0.00364624867867343,9.22243091067744e-16,NA,NA,"abieProc",1.28563583539033e-14,8.44656931812605e-15,NA,NA
"Estimate",4949.22802701284,NA,-0.000233402683658989,NA,840.451188827108,-11.8810922696017,-3845.07828573525,-0.0311558293070378,-0.382673936808352,NA,NA,"piceEnge",-0.342616108727548,NA,NA,NA
"Pr(>|z|)",0.000106695869398916,NA,0.0874916740701356,NA,6.73812757889658e-05,3.9317156950822e-05,8.5946476388988e-05,0.0358741925897796,0.00475172077778322,NA,NA,"piceEnge",8.47788905659416e-56,NA,NA,NA
"Estimate",63.5604815450596,0.0437791334847549,NA,NA,-9.07766854643593,0.352371531199966,NA,-0.15077478897977,0.443769336632094,NA,NA,"pinuCont",NA,-0.318666073006146,NA,NA
"Pr(>|z|)",7.78595549845906e-10,1.25236763237115e-06,NA,NA,1.38123065026475e-08,7.81944425666308e-09,NA,1.52070582475989e-18,0.000478733075847177,NA,NA,"pinuCont",NA,6.07069215063854e-13,NA,NA
"Estimate",-935.003321653236,0.0726529229631108,-0.000291169465043431,NA,-135.036175862702,1.6009841826547,672.559075438472,-0.0495124391526568,0.212813746698982,0.294855852360442,0.274275996068049,"pinuMont",0.120551785437952,NA,0.163173998339911,0.247953546270571
"Pr(>|z|)",3.80137521812305e-05,2.84826701661028e-25,1.00662604355569e-12,NA,2.31539134325211e-05,1.68339757294518e-05,2.80710776933276e-05,1.57615985939828e-05,0.00230977765563285,1.61730398221206e-07,8.97405669919104e-33,"pinuMont",1.23568946877283e-06,NA,0.000206344562415548,1.48810678798996e-29
"Estimate",3381.59224605332,0.0174390618301739,NA,NA,357.195287617552,-3.12884853755513,-2072.43196985017,NA,0.378337519678881,0.523735870257046,NA,"pinuPond",0.213537062039641,-0.113257241406406,NA,NA
"Pr(>|z|)",0.00110701552263985,2.90369218831436e-11,NA,NA,0.000679950174799485,0.00041793312637389,0.000873831808603721,NA,3.21838337074839e-08,6.12717303240253e-25,NA,"pinuPond",4.02747301541942e-16,8.31727120054504e-08,NA,NA
"Estimate",-29.284218116359,-0.660932407287339,0.000901366522880826,9.53603504540046,NA,NA,NA,0.102123498444817,NA,NA,NA,"pseuMenz",-0.166593672887184,-0.104850092378348,NA,NA
"Pr(>|z|)",9.2497307861563e-25,2.39372094433933e-20,2.26519149216202e-11,6.25272922991307e-29,NA,NA,NA,5.93761228053019e-11,NA,NA,NA,"pseuMenz",6.06237246180205e-06,0.00391132597230656,NA,NA
